년,상세영업상태명,학교종류,학교명,주소,경도,위도,구,행정동
2020,영업,어린이집,구립 연지어린이집,서울특별시 구로구 오류동 173-1번지 연지타운 1단지 구립연지어린이집 104동 1호,126.839643774764,37.487870866831706,구로구,오류2동
2020,영업,어린이집,새꼬예미어린이집,서울특별시 강동구 천호동 39-24번지 ,127.138816680943,37.5453885671975,강동구,천호1동
2020,영업,어린이집,서초구립 서리풀어린이집,서울특별시 서초구 서초동 1541-1번지 지하1층 ,127.00731413986999,37.4913141078723,서초구,서초3동
2020,영업,어린이집,세곡연두어린이집,서울특별시 강남구 자곡동 580-25번지 엘에이치강남3단지 1층 ,127.088860180478,37.4692198110814,강남구,세곡동
2020,영업,어린이집,구립희망샘어린이집,서울특별시 광진구 중곡동 63-8번지 ,127.090192140914,37.5592981443374,광진구,중곡4동
2020,영업,어린이집,구립대치도담 어린이집,서울특별시 강남구 대치동 924-10번지 도곡초등학교 내 구립대치도담어린이집 지상1층 ,127.054646372782,37.499051846614,강남구,대치4동
2020,영업,어린이집,농심어린이집,서울특별시 동작구 신대방동 370-1번지 ,126.919394787481,37.496682764780395,동작구,신대방2동
2020,영업,어린이집,가로수 어린이집(국공립),서울특별시 강남구 신사동 550-11번지 ,127.024161072111,37.523108414057795,강남구,신사동
2020,영업,어린이집,송파위례22 어린이집,서울특별시 송파구 장지동 879번지 ,127.14011267661002,37.4791840843926,송파구,위례동
2020,폐업,어린이집,아이들세상 어린이집,서울특별시 광진구 중곡동 150-236 (1층),127.08457391891599,37.5600969592454,광진구,중곡2동
2020,영업,어린이집,한화여의도어린이집,서울특별시 영등포구 여의도동 23-5번지 지상2층 ,126.92293327700399,37.5239636217383,영등포구,여의동
2020,영업,유치원,서울솔가람유치원,서울특별시 송파구 장지동 900번지 ,127.140610606925,37.47802580102571,송파구,위례동
2020,영업,어린이집,을지로 푸르니 하나금융어린이집,서울특별시 중구 을지로2가 9-10번지 2층 ,126.98400730508499,37.5664045192536,중구,명동
2020,영업,어린이집,두꼬마 어린이집,서울특별시 송파구 방이동 219-8번지 ,127.121651876419,37.507580028851294,송파구,방이1동
2020,폐업,유치원,하늘유치원,서울특별시 은평구 진관1로 77-15 (진관동),126.928797755277,37.6321842004299,은평구,진관동
2020,영업,어린이집,아이와나무 어린이집,서울특별시 광진구 중곡동 118-38번지 ,127.08714517232299,37.5552258106716,광진구,중곡2동
2020,영업,어린이집,구립 온새미어린이집,서울특별시 구로구 구로동 50-11번지 구립온새미어린이집 ,126.89225029748998,37.5012830567498,구로구,구로5동
2020,영업,유치원,동산유치원,서울특별시 금천구 독산동 955-12번지 ,126.90093901766501,37.4769120074897,금천구,독산3동
2020,영업,어린이집,샛별어린이집,서울특별시 서대문구 홍은동 204-27번지 ,126.935142338557,37.5906593453682,서대문구,홍은2동
2020,영업,유치원,샛별유치원,서울특별시 동작구 상도동 134-160번지 ,126.950239386676,37.498030369487296,동작구,상도1동
2020,영업,어린이집,한국원자력의학원어린이집,서울특별시 노원구 공릉동 215-4번지 ,127.082243644839,37.628389077125505,노원구,공릉2동
2020,영업,유치원,빛나유치원,서울특별시 양천구 목동 925번지 목동아파트7단지내1층 ,126.86781580884701,37.5288116839027,양천구,목1동
2020,영업,어린이집,송파위례24 어린이집,서울특별시 송파구 장지동 901번지 ,127.139342432661,37.4759094989183,송파구,위례동
2020,영업,어린이집,구립 로미어린이집,서울특별시 동작구 노량진동 326번지 ,126.94243845213,37.5063788368013,동작구,노량진1동
2020,영업,어린이집,착한나라어린이집,서울특별시 마포구 망원동 417-25번지 ,126.90152157558599,37.555911472515795,마포구,망원1동
2020,영업,유치원,서울여자대학교부속유치원,서울특별시 노원구 공릉동 126번지 ,127.090461100814,37.627764020061896,노원구,공릉2동
2020,영업,어린이집,구립 산모건강증진센터 어린이집,서울특별시 송파구 장지동 841-1번지 ,127.127109451338,37.477919903505395,송파구,장지동
2020,영업,어린이집,송파 리틀짐 어린이집,서울특별시 송파구 송파동 128-9번지 ,127.113710302878,37.5070121238119,송파구,송파1동
2020,영업,유치원,아랑유치원,서울특별시 노원구 공릉동 708번지 아랑유치원 ,127.069403699559,37.6302649045774,노원구,공릉1동
2020,영업,어린이집,구립응암새싹어린이집,서울특별시 은평구 응암동 98-74번지 ,126.92337753402398,37.5999804979346,은평구,응암1동
2020,영업,어린이집,무궁화누리어린이집,서울특별시 송파구 방이동 119-20번지 ,127.116488438491,37.51037685807521,송파구,방이2동
2020,영업,어린이집,햇살마루어린이집,서울특별시 도봉구 쌍문동 25-87번지 지상1층 ,127.036332542525,37.659468017822704,도봉구,쌍문2동
2020,영업,어린이집,정원어린이집,서울특별시 양천구 신월동 16-14번지 ,126.827781447794,37.5401086298133,양천구,신월5동
2020,영업,유치원,삼성유치원,서울특별시 동대문구 전농동 440-9번지 1층 ,127.05076163497299,37.5773106094799,동대문구,전농1동
2020,영업,어린이집,SKT행복날개어린이집,서울특별시 중구 을지로2가 11번지 SKT타워  3층 ,126.985085610951,37.566472860530794,중구,명동
2020,영업,어린이집,방학동행복한어린이집,서울특별시 도봉구 방학동 265-3번지 ,127.036886448343,37.661450111876995,도봉구,방학1동
2020,영업,어린이집,장위3동 어린이집,서울특별시 성북구 장위동 77-64번지 ,127.053462365333,37.61681786812871,성북구,장위3동
2020,영업,어린이집,국공립 새롬마을어린이집,서울특별시 구로구 오류동 13-46번지 ,126.84179006541201,37.4972748220603,구로구,오류1동
2020,영업,어린이집,(재)천주교 서울대교구유지재단 천사어린이집,서울특별시 송파구 마천동 93-5번지 마천동 천주교회 지상2층 ,127.14897574315901,37.4995223807643,송파구,마천2동
2020,영업,어린이집,양재복지관 어린이집,서울특별시 서초구 양재동 11-13번지 ,127.03617104458999,37.4845195234451,서초구,양재1동
2020,영업,어린이집,육영어린이집,서울특별시 관악구 신림동 751-10번지 ,126.914526117211,37.475114071589296,관악구,미성동
2020,영업,어린이집,아이비케이 참 좋은 어린이집,서울특별시 강남구 대치동 921-3번지 중소기업은행 도곡동지점 지상2층 ,127.051729968036,37.4994318310168,강남구,대치4동
2020,영업,어린이집,라온어린이집,서울특별시 양천구 신정동 117-37번지 ,126.87422424525101,37.521650155205705,양천구,신정2동
2020,영업,어린이집,서초구립 서초3단지어린이집,서울특별시 서초구 우면동 784번지 ,127.02208881281601,37.458633294824,서초구,양재1동
2020,영업,어린이집,곤지잼잼어린이집,서울특별시 성동구 성수동2가 289-27번지 ,127.053815946309,37.5465681744717,성동구,성수2가3동
2020,폐업,유치원,예일유치원,서울특별시 광진구 중곡동 141-12번지 ,127.08274909594499,37.5582773635949,광진구,중곡2동
2020,폐업,어린이집,구립샤마임어린이집,서울특별시 양천구 신월동 103-23번지 ,126.834215412871,37.53481712036661,양천구,신월1동
2020,영업,어린이집,키즈윌어린이집,서울특별시 동대문구 전농동 212-10번지 1~3층 ,127.0522917596,37.5802732547595,동대문구,전농1동
2020,영업,어린이집,청정원직장어린이집,서울특별시 동대문구 신설동 103-13번지 ,127.025128915221,37.5741357494924,동대문구,용신동
2020,영업,어린이집,구립 새솔어린이집,서울특별시 중랑구 신내동 817번지 ,127.096714599788,37.60371361059021,중랑구,신내1동
2020,영업,어린이집,구립색동어린이집,서울특별시 관악구 봉천동 663-2번지 ,126.931549085926,37.4885111955739,관악구,보라매동
2020,영업,어린이집,구립 자람터어린이집,서울특별시 구로구 구로동 235-2번지 에이스하이엔등 1차 201호 ,126.89341115857599,37.4815239943174,구로구,구로3동
2020,영업,어린이집,한강 어린이집,서울특별시 동작구 서달로 91 107동관리동 (흑석동 흑석한강센트레빌2차),126.95973793726401,37.501552464290704,동작구,흑석동
2020,영업,어린이집,해피용마어린이집,서울특별시 광진구 중곡동 147-35번지 ,127.087791008243,37.5609526553969,광진구,중곡4동
2020,영업,어린이집,강남구립세곡나비어린이집,서울특별시 강남구 자곡로 230 (자곡동 세곡2 보금자리주택지구 3단지),127.10681256152999,37.4753169308412,강남구,세곡동
2020,영업,유치원,서울하늘숲유치원,서울특별시 구로구 천왕동 9-51번지 ,126.843097268701,37.485068113224,구로구,오류2동
2020,영업,어린이집,한울어린이집,서울특별시 관악구 남현동 산 100-14번지 ,126.98172194312099,37.4615430975068,관악구,남현동
2020,영업,어린이집,산마루 어린이집,서울특별시 서대문구 북아현동 1-595번지 ,126.951116891225,37.5657102162383,서대문구,충현동
2020,영업,어린이집,행복숲 어린이집,서울특별시 송파구 가락동 181-22번지 ,127.135394724453,37.4944787911381,송파구,가락2동
2020,영업,어린이집,세곡햇빛어린이집,서울특별시 강남구 자곡로 260 지상1층 (율현동 강남한양수자인 ),127.11275237791,37.476803518558995,강남구,세곡동
