인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표,구,행정동,구 행정동
20050117,영업,0,서울특별시 중구 봉래동2가 122-11번지 롯데마트(지상2층) ,서울특별시 중구 한강대로 405 (봉래동2가롯데마트(지상2층)),누들킹 롯데마트 서울역점,제과제빵,126.969441491665,37.5562890762111,중구,회현동,중구 회현동
20040402,영업,0,서울특별시 중구 소공동 1번지 외6필지 롯데백화점(지하1층) ,0,(주)고구마연구하는사람들,제과제빵,126.981089534575,37.5648098108631,중구,소공동,중구 소공동
19781207,영업,0,서울특별시 중구 신당동 361-58번지 ,서울특별시 중구 다산로 113 (신당동),고려당,제과제빵,127.010027562853,37.5542338252006,중구,다산동,중구 다산동
19860508,영업,0,서울특별시 중구 을지로1가 101-1번지 ,서울특별시 중구 을지로 35 (을지로1가),한가람,제과제빵,126.981977210886,37.5664409328061,중구,명동,중구 명동
20020401,영업,0,서울특별시 중구 을지로6가 18-12번지 두산타워 9층 ,서울특별시 중구 장충단로 275 (을지로6가두산타워 9층),프레쉬 앤 죠이,제과제빵,127.00875235399599,37.5688141257209,중구,광희동,중구 광희동
20020628,영업,0,서울특별시 중구 충무로2가 66-6번지 (1층 106호) ,서울특별시 중구 명동8가길 11 (충무로2가(1층 106호)),프랑스에 다녀온 붕어빵,제과제빵,126.985634221324,37.561959158047706,중구,명동,중구 명동
19850916,영업,0,서울특별시 중구 인현동1가 101-1번지 ,서울특별시 중구 마른내로 53 (인현동1가),윈첼도우넛,제과제빵,126.99371890987801,37.564512297808214,중구,을지로동,중구 을지로동
20171113,영업,0,서울특별시 중구 신당동 372-96번지 1층 제6호 ,서울특별시 중구 동호로7길 31 (신당동 1층 제6호),영글찬김밥,제과제빵,127.010904821739,37.5523594914619,중구,약수동,중구 약수동
19850115,영업,0,서울특별시 중구 중림동 18-6번지 ,0,명보제과,제과제빵,126.96526003161101,37.5543324848091,중구,중림동,중구 중림동
20050617,영업,0,서울특별시 중구 수하동 65-1번지 (지상1층) ,서울특별시 중구 남대문로10길 6 (수하동(지상1층)),카페 루이스,제과제빵,126.983248236488,37.5668783733152,중구,명동,중구 명동
20060628,영업,0,서울특별시 중구 소공동 1번지 롯데백화점(지하1층) ,서울특별시 중구 남대문로 81 (소공동 롯데백화점(지하1층)),움트,제과제빵,126.981089534575,37.5648098108631,중구,소공동,중구 소공동
20080923,영업,0,서울특별시 중구 소공동 1번지 롯데백화점 본점 (지하1층) ,0,리안스베이글,제과제빵,126.981089534575,37.5648098108631,중구,소공동,중구 소공동
20031008,영업,0,서울특별시 중구 장충동1가 56-17번지 (지상1층) ,서울특별시 중구 장충단로 175 (장충동1가(지상1층)),파리바게뜨 장충동점,제과제빵,127.00559783287201,37.5606837275403,중구,장충동,중구 장충동
20040331,영업,0,서울특별시 중구 을지로6가 18-12번지 외1필지(지상8층) ,서울특별시 중구 장충단로 275 (을지로6가외1필지(지상8층)),프렛즐,제과제빵,127.00875235399599,37.5688141257209,중구,광희동,중구 광희동
