기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	집단시설가구	집단시설가구	집단시설가구	집단시설가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수
기간	구분	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2019	종로구	67,650	154,969	74,880	80,089	62,652	136,649	65,594	71,055	72	640	433	207	41	4,854	2,391	2,463	4,885	8,291	3,439	4,852
2019	중구	59,440	130,957	63,406	67,551	54,496	115,665	55,820	59,845	76	690	375	315	22	2,328	713	1,615	4,846	8,526	3,982	4,544
2019	용산구	99,777	227,181	110,934	116,247	93,177	204,196	97,390	106,806	53	428	234	194	27	2,387	889	1,498	6,520	11,781	6,536	5,245
2019	성동구	127,557	299,688	146,630	153,058	122,770	283,330	137,125	146,205	64	529	280	249	15	3,106	1,774	1,332	4,708	7,557	3,480	4,077
2019	광진구	158,673	359,766	174,027	185,739	149,905	331,747	159,187	172,560	65	570	315	255	22	5,827	2,814	3,013	8,681	15,325	7,015	8,310
2019	동대문구	157,662	355,094	174,161	180,933	148,349	327,897	160,582	167,315	96	847	461	386	30	4,743	2,100	2,643	9,187	14,055	5,739	8,316
2019	중랑구	163,422	386,331	190,531	195,800	160,776	374,640	183,357	191,283	35	325	179	146	19	1,551	695	856	2,592	4,529	2,110	2,419
2019	성북구	182,594	445,327	213,832	231,495	176,729	418,403	200,642	217,761	97	878	371	507	65	9,354	3,338	6,016	5,703	8,829	3,655	5,174
2019	강북구	130,161	303,871	147,112	156,759	128,012	294,143	141,759	152,384	43	362	193	169	29	2,080	518	1,562	2,077	3,258	1,430	1,828
2019	도봉구	127,843	323,543	156,961	166,582	126,831	315,032	152,106	162,926	24	185	80	105	34	2,818	640	2,178	954	1,548	752	796
2019	노원구	202,930	522,480	252,662	269,818	201,458	504,967	241,951	263,016	67	546	202	344	36	7,686	3,415	4,271	1,369	2,223	1,073	1,150
2019	은평구	186,841	461,530	222,076	239,454	184,890	447,693	213,158	234,535	48	453	249	204	34	4,377	2,279	2,098	1,869	3,201	1,503	1,698
2019	서대문구	134,437	319,394	149,113	170,281	128,635	291,958	137,971	153,987	68	600	294	306	37	10,885	3,046	7,839	5,697	9,153	3,095	6,058
2019	마포구	162,161	369,327	173,893	195,434	156,885	348,755	163,126	185,629	81	711	389	322	21	4,975	2,292	2,683	5,174	8,239	3,159	5,080
2019	양천구	165,106	440,354	216,078	224,276	162,867	429,819	208,741	221,078	23	201	125	76	22	916	323	593	2,194	3,734	1,849	1,885
2019	강서구	243,220	574,097	277,365	296,732	240,135	559,359	268,057	291,302	35	316	185	131	41	2,583	927	1,656	3,009	5,289	2,549	2,740
2019	구로구	178,837	435,560	217,373	218,187	160,378	386,239	188,979	197,260	68	533	321	212	38	3,225	1,419	1,806	18,353	39,456	21,661	17,795
2019	금천구	111,250	249,747	127,242	122,505	99,315	219,896	110,152	109,744	51	434	251	183	30	1,610	605	1,005	11,854	23,837	13,082	10,755
2019	영등포구	169,700	394,083	196,903	197,180	153,923	341,509	167,114	174,395	90	842	494	348	37	3,270	1,757	1,513	15,650	42,182	22,502	19,680
2019	동작구	172,323	400,368	194,049	206,319	164,963	374,478	180,291	194,187	89	805	356	449	17	6,307	2,932	3,375	7,254	13,066	5,991	7,075
2019	관악구	253,139	507,828	254,082	253,746	242,154	472,796	234,870	237,926	145	1,469	876	593	29	7,366	3,776	3,590	10,811	19,012	8,931	10,081
2019	서초구	157,635	404,960	194,195	210,765	155,377	391,520	185,921	205,599	51	463	271	192	22	3,147	1,051	2,096	2,185	3,465	1,667	1,798
2019	강남구	209,768	509,199	244,403	264,796	206,524	493,492	234,001	259,491	60	514	281	233	24	2,259	821	1,438	3,160	4,445	2,213	2,232
2019	송파구	256,160	648,600	313,725	334,875	252,212	629,275	301,491	327,784	56	462	288	174	24	4,160	1,628	2,532	3,868	6,594	3,343	3,251
2019	강동구	165,671	415,287	204,807	210,480	162,976	403,443	196,902	206,541	30	239	127	112	25	1,995	1,057	938	2,640	4,454	2,263	2,191
