XÁÂÇ¥,YÁÂÇ¥,ÀÚÄ¡±¸,¹øÂ°,1ÀÎ °¡±¸ Á¡¼ö,2ÀÎ °¡±¸ Á¡¼ö,4ÀÎ °¡±¸ Á¡¼ö
127.112413703636,37.5918593794042,Áß¶û±¸,4469,0.0,0.0,0
127.11214046186001,37.5914454623312,Áß¶û±¸,4469,0.0,0.0,0
127.11186047837099,37.591018603751294,Áß¶û±¸,4469,0.0,0.0,0
127.110854687017,37.589429869635204,Áß¶û±¸,4468,0.0,0.0,0
127.11067525728201,37.5891557939883,Áß¶û±¸,4468,0.0,0.0,0
127.110523516247,37.5884576710551,Áß¶û±¸,4468,0.0,0.0,0
127.11043059807699,37.5880714595894,Áß¶û±¸,4468,0.0,0.0,0
127.110297801536,37.5877455426479,Áß¶û±¸,4468,0.0,0.0,0
127.110154401185,37.587430041673,Áß¶û±¸,4468,0.0,0.0,0
127.110022865075,37.586637016554896,Áß¶û±¸,4468,0.0,0.0,0
127.109986934185,37.5860162167846,Áß¶û±¸,4467,0.0,0.0,0
127.109944222078,37.585957412682795,Áß¶û±¸,4467,0.0,0.0,0
127.10973285216002,37.585244134465604,Áß¶û±¸,4467,0.0,0.0,0
127.109380008643,37.584560555469295,Áß¶û±¸,4467,0.0,0.0,0
127.10937649140499,37.5840923255757,Áß¶û±¸,4467,0.0,0.0,0
127.109230763712,37.5838669329603,Áß¶û±¸,4467,0.0,0.0,0
127.10906161708901,37.5836052337565,Áß¶û±¸,4467,0.0,0.0,0
127.10896665586701,37.5833792269156,Áß¶û±¸,4467,0.0,0.0,0
127.10851346846701,37.5832681505759,Áß¶û±¸,4467,0.0,0.0,0
127.10843770681801,37.583237522638996,Áß¶û±¸,4467,0.0,0.0,0
127.108341396632,37.5831829920819,Áß¶û±¸,4467,0.0,0.0,0
127.108341365248,37.5831610260815,Áß¶û±¸,4467,0.0,0.0,0
127.10781026750601,37.5828757308506,Áß¶û±¸,4467,0.0,0.0,0
127.10763031329901,37.582715679471995,Áß¶û±¸,4467,0.0,0.0,0
127.107597371512,37.5826861477375,Áß¶û±¸,4392,0.0,0.0,0
127.10741329828699,37.5824948535394,Áß¶û±¸,4392,0.0,0.0,0
127.107382832862,37.5824630670582,Áß¶û±¸,4392,0.0,0.0,0
127.107373441275,37.5824506869263,Áß¶û±¸,4392,0.0,0.0,0
127.10724128778,37.5823148105669,Áß¶û±¸,4392,0.0,0.0,0
127.106914663063,37.5822630166418,Áß¶û±¸,4392,0.0,0.0,0
127.106695113991,37.5821215864987,Áß¶û±¸,4391,0.0,0.0,0
127.106472501075,37.5820632205467,Áß¶û±¸,4391,0.0,0.0,0
127.10628668346001,37.5820135520774,Áß¶û±¸,4391,0.0,0.0,0
127.10622297661399,37.581995868188,Áß¶û±¸,4391,0.0,0.0,0
127.10613132031901,37.58197201926279,Áß¶û±¸,4391,0.0,0.0,0
127.106052393081,37.58195097007121,Áß¶û±¸,4391,0.0,0.0,0
127.105994533211,37.581936938883096,Áß¶û±¸,4391,0.0,0.0,0
127.105872383975,37.5818770773064,Áß¶û±¸,4391,0.0,0.0,0
127.105583682268,37.58173965251101,Áß¶û±¸,4391,0.0,0.0,0
127.105485257878,37.581692437476,Áß¶û±¸,4391,0.0,0.0,0
127.10542100179501,37.5816620857753,Áß¶û±¸,4391,0.0,0.0,0
127.10525565764799,37.5815656545111,Áß¶û±¸,4391,0.0,0.0,0
127.104973989566,37.5814042918499,Áß¶û±¸,4391,0.0,0.0,0
127.104341470942,37.5810548654905,Áß¶û±¸,4391,0.0,0.0,0
127.104001433743,37.5808924250842,Áß¶û±¸,4391,0.0,0.0,0
