구분,노선명,공동주택명,계약종별,가로등분전함위치
저압,역말길-01,"(대조동,동명여고후문)",가로등(을),"서울특별시 은평구 역말로 170  (대조동,동명여고후문)"
저압,역말길-06,(역촌동),가로등(을),서울특별시 은평구 역말로 68  (역촌동)
저압,예술의길-02,(녹번동),가로등(을),서울특별시 은평구 통일로53길 4  (녹번동)
저압,예술의길-01,(녹번동),가로등(을),서울특별시 은평구 녹번로 59  (녹번동)
저압,북한산길-04,(진관동),가로등(을),서울특별시 은평구 북한산로 249  (진관동)
저압,북한산길-01,(진관동),가로등(을),서울특별시 은평구 북한산로 256  (진관동)
저압,서오릉로-11,"(구산동,유성빌딩)",가로등(을),"서울특별시 은평구 서오릉로 157  (구산동,유성빌딩)"
저압,서오릉로-04,,가로등(을),서울특별시 은평구 갈현동 469-17
저압,연서로-23,(갈현동),가로등(을),서울특별시 은평구 연서로 187  (갈현동)
저압,연서로-04,(대조동),가로등(을),서울특별시 은평구 연서로 184-1   LP-6(대조동)
저압,연서로-02,"(역촌동,현성빌딩)",가로등(을),"서울특별시 은평구 연서로 54   LP-2(역촌동,현성빌딩)"
저압,연서로-24,(구산동),가로등(을),서울특별시 은평구 연서로 93   LP-6(구산동)
저압,연서로-25,(역촌동),가로등(을),서울특별시 은평구 연서로 45   LP-3(역촌동)
저압,연서로-03,(역촌동),가로등(을),서울특별시 은평구 연서로 110   LP-4(역촌동)
저압,독바위길-02,(불광동),가로등(을),서울특별시 은평구 불광로2길 46   독바위길(불광동)
저압,독바위길-01,(불광동),가로등(을),서울특별시 은평구 불광로2길 16   독바위길(불광동)
저압,서오릉로-01,(녹번동),가로등(을),서울특별시 은평구 서오릉로 40  (녹번동)
저압,서오릉로-14,(녹번동),가로등(을),서울특별시 은평구 서오릉로 31  (녹번동)
저압,서오릉로-02,(대조동),가로등(을),서울특별시 은평구 서오릉로 86  (대조동)
저압,서오릉로-13,(역촌동),가로등(을),서울특별시 은평구 서오릉로 83  (역촌동)
저압,서오릉로-03,,가로등(을),서울특별시 은평구 역촌동 49-23
저압,서오릉로-12,(역촌동),가로등(을),서울특별시 은평구 서오릉로 117  (역촌동)
저압,서오릉로-15,(응암동),가로등(을),서울특별시 은평구 서오릉로 9  (응암동)
저압,수색로-02,(증산동),가로등(을),서울특별시 은평구 수색로 23  (증산동)
저압,연서로-05,"(대조동,하나은행)",가로등(을),"서울특별시 은평구 연서로 216  (대조동,하나은행)"
저압,연서로-22,"(갈현동,삼성전지)",가로등(을),"서울특별시 은평구 연서로 215  (갈현동,삼성전지)"
저압,연서로-06,"(불광동,선녀보살)",가로등(을),"서울특별시 은평구 연서로 264  (불광동,선녀보살)"
저압,연서로-20,"(불광동,버스정류장)",가로등(을),"서울특별시 은평구 연서로 267  (불광동,버스정류장)"
저압,연서로-07,"(불광동,진양탕)",가로등(을),"서울특별시 은평구 연서로 330  (불광동,진양탕)"
저압,연서로-19,"(불광동,바다목장)",가로등(을),"서울특별시 은평구 연서로 325-1  (불광동,바다목장)"
저압,응암로-08,"(녹번동,역촌전철역 서부병원)",가로등(을),"서울특별시 은평구 응암로 360 (녹번동,역촌전철역 서부병원)"
저압,응암로-01,"(녹번동,역촌전철역건너 제일은행)",가로등(을),"서울특별시 은평구 응암로 361 (녹번동,역촌전철역건너 제일은행)"
저압,응암로-07,"(응암동,서부병원건너 427-229)",가로등(을),"서울특별시 은평구 응암로 282 (응암동,서부병원건너 427-229)"
저압,응암로-02,"(응암동,KTF 124-17)",가로등(을),"서울특별시 은평구 응암로 285(응암동,KTF 124-17)"
