인허가일자,상세영업상태명,폐업일자,주소,사업장명,업태구분명
20071221,영업,29991231,서울특별시 종로구 연지동 136-25번지 ,연동어린이집,어린이집
20080410,영업,29991231,서울특별시 종로구 이화동 149번지 서울대 사범대학 부설 초등학교여자중학교 ,서울사대부설여자중학교,학교
20130809,영업,29991231,서울특별시 종로구 청운동 산 9-4번지 ,유진인재개발원,산업체
20131014,영업,29991231,서울특별시 종로구 수송동 110번지 연합뉴스빌딩 17츨 ,주식회사 연합뉴스,산업체
20131018,영업,29991231,서울특별시 종로구 동숭동 192-19번지 ,대학로 어린이집,어린이집
20080619,영업,29991231,서울특별시 종로구 명륜1가 1-27번지 지하1층 ,서울국제고등학교,학교
20080902,영업,29991231,서울특별시 종로구 사직동 304-28번지 ,(쟤)한국사회과학자료원,산업체
20080904,영업,29991231,서울특별시 종로구 가회동 132번지 안동교회 ,안동어린이집,어린이집
20081119,영업,29991231,서울특별시 종로구 평창동 439-5번지 지하1층 지상2층 ,하나 유치원,어린이집
19981130,영업,29991231,서울특별시 종로구 화동 2-0번지 ,정독도서관,공공기관
20200518,영업,29991231,서울특별시 종로구 필운동 12번지 배화여자대학교배화여자중고등학교 ,배화여자대학교 부속 배화유치원,어린이집
20200131,영업,29991231,서울특별시 종로구 숭인동 178-167번지 숭인제2동주민센터 ,한빛어린이집,어린이집
20180226,폐업,20200414,서울특별시 종로구 수송동 146-12번지 대림빌딩 ,한숲어린이집,어린이집
20060614,폐업,20200131,서울특별시 종로구 숭인동 178-167번지 한빛어린이집 ,한빛어린이집,어린이집
20131001,폐업,20200508,서울특별시 종로구 세종로 1-1번지 ,국립민속박물관,공공기관
20190701,폐업,20200313,서울특별시 종로구 운니동 69번지 덕성여자대학교 운현어린이집 ,운현 어린이집,어린이집
20190716,폐업,20191119,서울특별시 종로구 동숭동 25-1번지 일석 기념관 ,서울대학교병원어린이집,어린이집
20181018,폐업,20190716,서울특별시 종로구 동숭동 25-1번지 일석 기념관 ,서울대학병원 어린이집,어린이집
20030412,폐업,20181128,서울특별시 종로구 도렴동 95-1번지 ,공무원연금관리공단 서울사무소,공공기관
20030422,폐업,20171108,서울특별시 종로구 인의동 48-25번지 지하1층 ,중앙선거관리위원회 선거연수원,공공기관
20160307,폐업,20180328,서울특별시 종로구 신문로2가 1-124번지 ,현대해상 온마음 어린이집,어린이집
