상세영업상태코드,상세영업상태명,폐업일자,지번주소,사업장명,최종수정일자,데이터갱신일자,공연장형태구분명,최초등록시점
13,영업중,0,서울특별시 종로구 명륜2가 41-9번지 3층 ,CGV 대학로 7관,20190423145332,2019-04-25 02:40:00.0,영화관,20040630
13,영업중,0,서울특별시 종로구 명륜2가 41-9번지 2층 ,CGV 대학로 6관,20190423145440,2019-04-25 02:40:00.0,영화관,20040630
13,영업중,0,서울특별시 종로구 명륜2가 41-9번지 지하2층 ,CGV 대학로 4관,20190423145506,2019-04-25 02:40:00.0,영화관,20040630
13,영업중,0,서울특별시 종로구 명륜2가 41-9번지 지하2층 ,CGV 대학로 3관,20190423145523,2019-04-25 02:40:00.0,영화관,20040630
13,영업중,0,서울특별시 종로구 묘동 56번지 단성사 지하2층 ,아산엠인터내셔널 단성사 1관,20110131134656,2018-08-31 23:59:59.0,영화관,20060925
13,영업중,0,서울특별시 종로구 명륜2가 41-9번지 지하1층 ,CGV 대학로 5관,20200205102318,2020-02-07 02:40:00.0,영화관,20050526
13,영업중,0,서울특별시 종로구 명륜2가 41-9번지 지하3층 ,CGV 대학로 2관,20190423145611,2019-04-25 02:40:00.0,영화관,20040630
13,영업중,0,서울특별시 종로구 명륜2가 41-9번지 지하3층 ,CGV 대학로 1관,20190423145700,2019-04-25 02:40:00.0,영화관,20040630
13,영업중,0,서울특별시 종로구 관수동 59-7번지 신관2층 ,서울극장 플러스관,20200414122850,2020-04-16 02:40:00.0,영화관,20030918
13,영업중,0,서울특별시 종로구 관수동 59-7번지 6층 ,서울극장 H관,20180104095333,2018-08-31 23:59:59.0,영화관,20030802
13,영업중,0,서울특별시 종로구 신문로2가 1-181번지 복합문화공간 에무 3층 ,에무 시네마 2관,20180713104954,2018-08-31 23:59:59.0,영화관,20180713
13,영업중,0,서울특별시 종로구 신문로2가 1-181번지 ,에무 시네마 1관,20190501152508,2019-05-03 02:40:00.0,영화관,20160309
13,영업중,0,서울특별시 종로구 묘동 56번지 단성사 지하2층 ,아산엠인터내셔널 단성사 3관,20100914161927,2018-08-31 23:59:59.0,영화관,20060925
13,영업중,0,서울특별시 종로구 묘동 56번지 단성사 지하2층 ,아산엠인터내셔널 단성사 2관,20100914161905,2018-08-31 23:59:59.0,영화관,20060925
13,영업중,0,서울특별시 종로구 신문로1가 226번지 흥국생명빌딩 지하2층 ,씨네큐브광화문 2관,20181102155051,2018-11-12 04:00:00.0,영화관,20030212
13,영업중,0,서울특별시 종로구 신문로1가 226번지 흥국생명빌딩 지하2층 ,씨네큐브광화문 1관,20181102154929,2018-11-12 04:00:00.0,영화관,20030212
13,영업중,0,서울특별시 종로구 낙원동 284-6번지 ,낭만극장,20181102154538,2018-11-12 04:00:00.0,영화관,20030212
13,영업중,0,서울특별시 종로구 낙원동 284-6번지 ,허리우드클래식,20200323140225,2020-03-25 02:40:00.0,영화관,20030212
13,영업중,0,서울특별시 종로구 관수동 59-7번지 지하1층 ,서울극장 8관,20180104095131,2018-08-31 23:59:59.0,영화관,20030212
13,영업중,0,서울특별시 종로구 관수동 59-7번지 12층 ,서울극장 7관,20180104095046,2018-08-31 23:59:59.0,영화관,20030212
